AutoDrive,s: Angle,Error,S,m: S,F,R,FS1,Seat,Pow
>>>>>>>>>>>>>>>>>>>>>>> Saved Origin x=0 , y=0:  gps_p_goN = -285302245, gps_p_goE = 283197864
>>>>>>>>>>>>>>>>>>>>>>> Saved Directional x=something , y=0:  gps_p_gyN = -285304347, gps_p_gyE = 283195992
Created Path successfully
1,-2.000000,0.099898,27.272116,19.850000,1,0,1,1,1
1,-2.000000,0.078896,21.538620,21.030001,1,0,1,1,1
1,-2.000000,0.099898,27.272116,20.060001,1,0,1,1,1
1,-2.000000,0.099898,27.272116,20.090000,1,0,1,1,1
1,-2.000000,0.099898,27.272116,20.580000,1,0,1,1,1
1,-2.000000,0.036892,0.000000,19.750000,1,0,1,1,1
1,-2.000000,0.015890,0.000000,20.180000,1,0,1,1,1
1,-2.000000,-0.194145,53.001675,19.750000,1,0,1,1,1
1,-2.000000,-0.194145,53.001675,19.260000,1,0,1,1,1
1,-2.000000,-0.236149,64.468765,18.940001,1,0,1,1,1
1,-2.000000,0.057894,15.805059,19.280001,1,0,1,1,1
1,-2.000000,0.120900,33.005676,19.910000,1,0,1,1,1
1,-2.000000,0.057894,15.805059,19.940001,1,0,1,1,1
1,-2.000000,0.120900,33.005676,20.430000,1,0,1,1,1
1,-2.000000,0.057894,15.805059,19.140001,1,0,1,1,1
1,-2.000000,0.099898,27.272116,18.820002,1,0,1,1,1
1,-2.000000,-0.215147,58.735233,19.620001,1,0,1,1,1
1,-2.000000,0.078896,21.538620,19.850000,1,0,1,1,1
1,-2.000000,0.162920,44.477028,23.560001,1,0,1,1,1
1,-2.000000,0.120900,33.005676,21.080000,1,0,1,1,1
1,-2.000000,0.099898,27.272116,20.970001,1,0,1,1,1
1,-2.000000,0.225925,61.677647,18.760000,1,0,1,1,1
1,-2.000000,-0.215147,58.735233,18.320002,1,0,1,1,1
1,-2.000000,0.057894,15.805059,16.470001,1,0,1,1,1
1,-2.000000,0.099898,27.272116,18.320002,1,0,1,1,1
